Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,,,,,,
166732733367182_1819941908046248,https://www.facebook.com/UFHSCL/posts/1819941908046248,"Despite the fact that HIV can be found in people of all ages, races, genders, and sexual orientations, there is still stigma associated with the disease. #HIVAwareUF https://www.avert.org/professionals/hiv-social-issues/stigma-discrimination",Photo,,,11/16/2017 5:47, ,397,397,0,1231,1231,0,92,81,144,2,2,129,75,0,0,7,0,0,0,0,0,0,0,0,0,0,2,24,7,2,24,12,43,65,3,,64,77,3,,2,,,2,,
166732733367182_1819995871374185,https://www.facebook.com/UFHSCL/posts/1819995871374185,"Being diagnosed with HIV can take an emotional toll.  At UF, you can get support from UF Counseling &amp; Wellness Center, U Matter, We Care at the University of Florida (@UMatterWeCare on Twitter), and the UF Employee Assistance Program (http://eap.ufl.edu/).  #HIVAwareUF",Photo,,,11/15/2017 13:24, ,150,150,0,294,294,0,7,5,6,1,1,163,78,0,0,6,0,0,0,0,0,0,0,0,0,0,1,4,,1,4,,4,1,,,5,1,,,1,,,1,,
166732733367182_1820027928037646,https://www.facebook.com/UFHSCL/posts/1820027928037646,"If your friends or loved ones have recently been diagnosed with HIV, you can support them by being available to talk, listening and offering help, learning more about the virus, and encouraging treatment and medication adherence. You are an important and valuable part of creating a supportive and welcoming space. https://www.hiv.gov/hiv-basics/overview/making-a-difference/supporting-someone-living-with-hiv #HIVAwareUF",Photo,,,11/15/2017 4:57, ,111,111,0,194,194,0,2,1,2,1,1,144,76,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,,,1,,1,,,,2,,,,1,,,1,,
166732733367182_1819981598042279,https://www.facebook.com/UFHSCL/posts/1819981598042279,"Everyone’s experience with HIV/AIDS is different – we all have our own HIV Story to tell.  By sharing our stories, we help fight the stigma of HIV.  Each of our Graphic Novel Contest entries tells a unique story. Read their stories here: http://guides.uflib.ufl.edu/graphic-novel-contest/finalists, or watch the CDC video series of HIV Stories here: https://www.cdc.gov/actagainstaids/campaigns/lsht/stories.html #HIVAwareUF",Link,,,11/14/2017 8:06, ,217,217,0,377,377,0,3,1,2,1,1,201,114,0,0,3,0,0,0,0,0,0,0,0,0,0,,2,,,2,,1,,,,2,,,,1,,,1,,
166732733367182_1820033488037090,https://www.facebook.com/UFHSCL/posts/1820033488037090,"Have you been enjoying the entries from our HIV/AIDS Graphic Novel Contest?  Come see them in person at Sequential Artists Workshop's gallery during Artwalk Gainesville on December 1st, from 7-10pm!  The HSC Library will be there with refreshments and enlarged prints of our HIV/AIDS Graphic Novel Contest finalists.  Learn more about the Artwalk event (and get a map to the SAW gallery!) here: https://www.artwalkgainesville.com/.  #HIVAwareUF",Photo,,,11/14/2017 5:04, ,2937,196,2738,4502,318,4184,88,59,65,0,0,462,168,284,109,10,0,0,0,0,0,0,0,0,0,0,1,35,,1,35,,20,38,4,,20,41,4,,,,,,,
166732733367182_1819987338041705,https://www.facebook.com/UFHSCL/posts/1819987338041705,"Lisa Klug describes how a friend is overcoming the physical, emotional, and financial challenges of living with HIV.  Check out her full HIV/AIDS Graphic Novel Contest entry here:  https://goo.gl/DxRXGi. #HIVAwareUF",Photo,,,11/13/2017 5:14, ,3961,243,3714,5094,486,4608,126,94,116,3,3,468,177,225,105,6,0,0,0,0,0,0,0,0,0,0,1,33,5,1,35,5,15,55,36,,17,57,42,,1,,2,1,,2
166732733367182_1739417726098667,https://www.facebook.com/UFHSCL/posts/1739417726098667,"Phred is ready for Friday. Hey Phred, stop hogging the nap pods!
#FriYAY #PhrenologyPhred",Photo,,,11/10/2017 14:02, ,142,142,0,287,287,0,3,1,1,0,0,202,92,0,0,2,0,0,0,0,0,0,0,0,0,0,,3,,,3,,,1,,,,1,,,,,,,,
166732733367182_1819982951375477,https://www.facebook.com/UFHSCL/posts/1819982951375477,"Right now, there is no vaccine for HIV, but scientists like University of Florida College of Veterinary Medicine's Janet Yamamoto are making discoveries that are moving us toward a future vaccine or cure.  Inducted into the Florida Inventors Hall of Fame in 2015, Dr. Yamamoto developed a vaccine for feline immunodeficiency virus (FIV) and is currently working to figure out how to make a human version.  Learn more about her groundbreaking work here: http://explore.research.ufl.edu/inventor-janet-yamamoto.html. http://post.health.ufl.edu/2013/11/22/a-virus-with-nine-lives/. #HIVAwareUF",Photo,,,11/10/2017 9:08, ,156,156,0,292,292,0,4,1,1,0,0,200,96,0,0,3,0,0,0,0,0,0,0,0,0,0,,3,,,3,,,1,,,,1,,,,,,,,
166732733367182_1819943628046076,https://www.facebook.com/UFHSCL/posts/1819943628046076,"Have you fallen for an HIV myth?  Knowledge is power: get the facts about HIV with this video, produced by the HSC Library in partnership with UF Center for Arts in Medicine/UF Health Shands Arts in Medicine.
#HIVAwareUF",Link,,,11/9/2017 5:49, ,2085,145,1959,5062,225,4837,47,35,41,1,1,407,140,293,88,12,0,0,0,0,0,0,0,0,0,0,1,12,1,1,15,1,19,,5,9,22,,5,9,1,,,1,,
166732733367182_1819940538046385,https://www.facebook.com/UFHSCL/posts/1819940538046385,A strong support network is key to overcoming the challenges of living with HIV.  Need a support group? Check out this list of support group organizations in North Florida: https://goo.gl/J2F1Es. #HIVAwareUF,Photo,,,11/8/2017 13:45, ,2933,188,2749,4206,300,3906,107,32,35,0,0,473,161,300,110,14,0,0,0,0,0,0,0,0,0,0,1,76,,1,79,,5,22,7,,5,23,7,,,,,,,
